============================= test session starts ==============================
platform linux -- Python 3.6.6, pytest-4.0.0, py-1.7.0, pluggy-0.8.0 -- /home/finkernagel/upstream/dev/bin/python3
cachedir: .pytest_cache
rootdir: /home/finkernagel/upstream/dppd, inifile: setup.cfg
plugins: cov-2.6.0
collecting ... collected 155 items

tests/test_base.py::test_noop PASSED                                     [  0%]
tests/test_base.py::test_non_df_result PASSED                            [  1%]
tests/test_base.py::test_nested_dp_pd_calls PASSED                       [  1%]
tests/test_base.py::test_dp_pd_calls_nested_in_function_calls PASSED     [  2%]
tests/test_base.py::test_redefining_verb_vars PASSED                     [  3%]
tests/test_base.py::test_redefining_alias_warns PASSED                   [  3%]
tests/test_base.py::test_property_shadowed PASSED                        [  4%]
tests/test_base.py::test_property_list_of_types PASSED                   [  5%]
tests/test_base.py::test_verb_shadows_property PASSED                    [  5%]
tests/test_base.py::test_register_verb_raises_on_non_identifier PASSED   [  6%]
tests/test_base.py::test_verb_returning_non_df PASSED                    [  7%]
tests/test_base.py::test_no_context_manager_non_df_returning_verbs PASSED [  7%]
tests/test_base.py::test_no_attribute_no_verb_raises_attribute_error PASSED [  8%]
tests/test_base.py::test_no_attribute_no_verb_raises_attribute_error_context_manager PASSED [  9%]
tests/test_base.py::test_dp_on_empty_stack_raises PASSED                 [  9%]
tests/test_base.py::test_dp_continuation PASSED                          [ 10%]
tests/test_base.py::test_context_manager PASSED                          [ 10%]
tests/test_base.py::test_context_manager_with_non_df_args PASSED         [ 11%]
tests/test_base.py::test_context_manager_totally_to_pandas PASSED        [ 12%]
tests/test_base.py::test_interleaved_context_managers FAILED             [ 12%]
tests/test_base.py::test_context_manager_chain PASSED                    [ 13%]
tests/test_base.py::test_mixing_context_manager_and_dp PASSED            [ 14%]
tests/test_base.py::test_dppd_raises_on_non_dataframe PASSED             [ 14%]
tests/test_base.py::test_straight_dp_raises PASSED                       [ 15%]
tests/test_base.py::test_forking PASSED                                  [ 16%]
tests/test_base.py::test_forking_context_manager PASSED                  [ 16%]
tests/test_base.py::test_dp_on_dp PASSED                                 [ 17%]
tests/test_base.py::test_descend_on_None_raises PASSED                   [ 18%]
tests/test_base.py::test_series_methods PASSED                           [ 18%]
tests/test_base.py::test_group_on_series_raises PASSED                   [ 19%]
tests/test_pandas_forwards.py::test_iloc PASSED                          [ 20%]
tests/test_pandas_forwards.py::test_loc PASSED                           [ 20%]
tests/test_pandas_forwards.py::test_loc_str PASSED                       [ 21%]
tests/test_pandas_forwards.py::test_loc_returning_series PASSED          [ 21%]
tests/test_pandas_forwards.py::test_at PASSED                            [ 22%]
tests/test_pandas_forwards.py::test_iat PASSED                           [ 23%]
tests/test_pandas_forwards.py::test_sample PASSED                        [ 23%]
tests/test_pandas_forwards.py::test_index PASSED                         [ 24%]
tests/test_pandas_forwards.py::test_sort_values PASSED                   [ 25%]
tests/test_pandas_forwards.py::test_assign PASSED                        [ 25%]
tests/test_pandas_forwards.py::test_assign_in_order PASSED               [ 26%]
tests/test_pandas_forwards.py::test_rename PASSED                        [ 27%]
tests/test_pandas_forwards.py::test_dataframe_subscript PASSED           [ 27%]
tests/test_reshaping.py::test_basic_gather PASSED                        [ 28%]
tests/test_reshaping.py::test_gather_iris PASSED                         [ 29%]
tests/test_reshaping.py::test_basic_spread PASSED                        [ 29%]
tests/test_reshaping.py::test_spread_raises_on_multiple_keys PASSED      [ 30%]
tests/test_reshaping.py::test_spread_raises_on_multiple_values PASSED    [ 30%]
tests/test_reshaping.py::test_spread_raises_on_duplicate_values PASSED   [ 31%]
tests/test_reshaping.py::test_seperate PASSED                            [ 32%]
tests/test_reshaping.py::test_seperate_and_remove PASSED                 [ 32%]
tests/test_reshaping.py::test_seperate_raises_on_Multip_column PASSED    [ 33%]
tests/test_reshaping.py::test_unite PASSED                               [ 34%]
tests/test_reshaping.py::test_print FAILED                               [ 34%]
